track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ea,f1_ew,f1_lpv,f1_rr,f1_sn,f1_yso
a,0,random,18,0.22757210250290594,0.3455833553963725,0.29855871879488893,0.09219378911184888,0.005563282336578581,0.36033285735388254,0.11715032024904283,0.6427489177489177,0.44931777786686977,0.20103727714748784,0.0930621342992477,0.08674256641227741
a,0,random,33,0.4069409678326133,0.6509527665706897,0.41274324326159884,0.5896117191118044,0.016398420892802915,0.5341317365269461,0.24686451157039394,0.7576418363770882,0.8593416749608986,0.2572877059569075,0.22540288379983037,0.17578822129684712
a,0,random,48,0.46273524092609314,0.6774585547548123,0.4922665683982754,0.6978702871054767,0.028037383177570093,0.36255719055273894,0.31216718577313374,0.7494129486749413,0.8609884746612697,0.44769159023783617,0.3223905723905724,0.3835015357612988
a,0,random,63,0.5387801827263432,0.761982326148488,0.5538543457448859,0.8460125105803176,0.017228464419475654,0.5474742750233863,0.46880844520177883,0.782259630948527,0.9107599916792533,0.37895146386538275,0.48431618569636137,0.41321067712260595
a,0,random,78,0.6009210733700501,0.7929044006180538,0.6128633571484259,0.9321435499515034,0.03817177297840281,0.6610587033587695,0.49394865283123685,0.7460527476404692,0.9138235991320363,0.5327528601802166,0.7007165726482696,0.3896212016095463
a,0,random,93,0.618102244965992,0.8166231412518304,0.616654491068556,0.9255870572528077,0.03181568842567197,0.7448269001193792,0.5485490388147423,0.8035831794349275,0.9253998578693321,0.5856768757827622,0.6301005883469349,0.3673810186473699
a,0,random,108,0.6442135855618951,0.832919751966242,0.6416354385506698,0.9435779816513762,0.0343558282208589,0.8099422806926316,0.5696502667457024,0.7802507621427098,0.9416733856189987,0.583315553659057,0.7048824593128391,0.4302737520128824
a,0,random,123,0.6371131450110721,0.8417497852007053,0.6240401559757419,0.9377272464939113,0.03821656050955414,0.7951371445795238,0.6718303504286359,0.8231845730027548,0.9363338998227436,0.6126386878919441,0.5542312276519666,0.3647186147186147
a,0,random,138,0.6421281161069065,0.8450296116051508,0.6359634733280938,0.9358762399622107,0.05284319356691557,0.7969087168163798,0.6558346807587648,0.8400737335376551,0.9398181113504647,0.6272214997832684,0.5234403839055002,0.4071364852809991
a,0,random,153,0.683862060133013,0.85805039617907,0.6773998910256472,0.9459246897239646,0.0594059405940594,0.837082262210797,0.6817863848900998,0.8287440324003892,0.9416854880404909,0.6510607168983175,0.7999359282396283,0.4091330981993688
a,0,random,168,0.6713475794358676,0.8541259377197576,0.6564818787851757,0.9389008898313482,0.04607329842931937,0.8283534334235786,0.6872348343877931,0.8405025262870408,0.935932300425806,0.6796610169491526,0.7135012308274948,0.37196868436127556
a,0,random,183,0.698913004306098,0.8657835060405197,0.6953831498501909,0.9430798066489099,0.03696498054474708,0.8383251527596914,0.6776981778539168,0.844003323378169,0.9465743440233236,0.6716196136701337,0.7400183992640295,0.5919332406119611
a,0,random,198,0.7027113047584442,0.8704719415801558,0.6960110863213164,0.9479399048427536,0.036597428288822946,0.8386903274181454,0.6976387022461125,0.8538916499876312,0.9468816284171909,0.6625738445499826,0.7330707184393171,0.6071175386360415
a,0,random,213,0.7028453176814429,0.8696397005313119,0.6939603658965201,0.9476010973178867,0.05159165751920966,0.8458748866727108,0.6932771499712699,0.8521548149974227,0.9462219196732471,0.6586527017376815,0.7403810235338065,0.5898526077097506
a,0,random,228,0.6892239109145558,0.8616080251302881,0.6905441960868051,0.9393238717907829,0.03645569620253165,0.8368048533872599,0.6740500286423525,0.8377052868391451,0.946598296859262,0.6552788186026008,0.739842095128057,0.5369562507790103
a,0,random,243,0.6902012353494855,0.8641058962208625,0.6884639251644055,0.9386114055967836,0.037614185921547555,0.8332568690421573,0.6881182402524922,0.8478511809625289,0.9467181045620803,0.6575555555555556,0.7204946353882524,0.5415909408639732
a,0,random,258,0.6872149909665236,0.8583153185563216,0.6865865754457952,0.9379759739351177,0.04355108877721943,0.828108852910782,0.6750201172548569,0.834996300365479,0.9418983700862895,0.6560017652250661,0.7424673109721432,0.5249151391717584
a,0,random,273,0.6971448432830795,0.8665651341411058,0.6894394652821234,0.9511747647511393,0.04967320261437908,0.8372024970737417,0.6817497364854691,0.8392809349629762,0.9481404164148767,0.6670524244879065,0.7390017754981258,0.5610278372591007
a,0,random,288,0.7142273503036912,0.8688197789836939,0.718663740445558,0.9448048071948745,0.11489957963568426,0.8254162211700016,0.6783760437661964,0.8622866597004528,0.9440910002369798,0.7149361465852304,0.802732707087959,0.5405029873558427
a,0,random,303,0.720418798545989,0.8723056862672902,0.7256721288984083,0.9446494464944649,0.12624584717607973,0.8505876341338784,0.6828721316727404,0.8585728335701016,0.9474368958724633,0.6979027219991075,0.8095318573601488,0.5659698186349162
a,0,random,318,0.7307837860780245,0.8788828511945594,0.7378496727002521,0.9607593961799138,0.14266242616992275,0.8357668012840427,0.6825307950727884,0.8571176223807105,0.9552679403326537,0.7037119359857746,0.8346761198839833,0.6045610374124311
a,0,random,333,0.7208389659795629,0.8738425840729499,0.7242826416837397,0.9612638790001347,0.14408929477422627,0.8406026179303532,0.6683790183408918,0.8536913343473757,0.95105801731722,0.7029724933451642,0.8060066352365985,0.5594874035241008
a,0,random,348,0.7292800365191254,0.8792274196054367,0.7268273116402847,0.9602571258107354,0.1590559261159569,0.8580723476571983,0.6937462775461585,0.8561592772880762,0.9526484081746142,0.7080223880597015,0.7848463187991422,0.5907122592205465
a,0,random,363,0.7337163864616847,0.8815176535525865,0.7256227397878444,0.9611361673543806,0.16507177033492823,0.8751672720321162,0.6944883805815792,0.8553838149537167,0.9535733784921758,0.7276555919513337,0.775187969924812,0.5957831325301205
a,0,random,378,0.7293054445138555,0.878655141810654,0.7205352203080402,0.9600214855739717,0.15026208503203262,0.8651251489868892,0.6856369642217535,0.850157040656081,0.9534091329950742,0.7211895910780669,0.7760474601408973,0.6019000919399325
a,0,random,393,0.7348373733355419,0.8806223773422842,0.7276790470648576,0.9604811659019933,0.15710306406685237,0.8835171185053209,0.6797618565469199,0.8455481526347668,0.9558071821417017,0.7346541874316276,0.783020586627801,0.6136430461628932
a,0,random,408,0.7368712216519699,0.885078716244251,0.7255745704348929,0.9551249071056994,0.17254476397178514,0.8781302170283807,0.7191293757120968,0.8619906537974407,0.9563281510890134,0.746202841744243,0.7687991021324355,0.5735909822866344
a,0,random,423,0.7413144380050015,0.8874423456055514,0.733796232577591,0.9602756772279123,0.1672514619883041,0.874841258642585,0.7162760469556034,0.8638340436635644,0.957689600237116,0.7685314685314686,0.7768471989577517,0.5862831858407079
a,0,random,438,0.7499879958990827,0.8928953635838711,0.741071680190379,0.96270207852194,0.17433414043583534,0.8691267260474104,0.7410612437556543,0.8693348513377414,0.9596972423452588,0.7781334646638759,0.772642564293701,0.6228596516903263
a,0,random,453,0.7522404132774144,0.8939644728061719,0.7398506400631413,0.9610454597944493,0.16869009584664538,0.8830799829521239,0.746588693957115,0.8674925170959779,0.959263444545303,0.7904176274660517,0.7747949291573453,0.6187909686817189
a,0,random,468,0.751728224126226,0.8947886613236209,0.7455414822766596,0.9608001228595562,0.1627751834556371,0.8777127759954708,0.7499415022229156,0.8727208511765485,0.9597644567458622,0.788649476039091,0.774948894257573,0.61824075438338
a,0,random,483,0.7566167226018242,0.8976117233185947,0.7484454443565274,0.9606299212598425,0.16209150326797386,0.88756777323314,0.7617992127488822,0.871826625386997,0.9608186046511628,0.8112538226299694,0.7742175856929955,0.6193454545454545
a,0,random,498,0.7537768568740983,0.8955533046170664,0.7464987202073234,0.961293181511666,0.16452442159383032,0.876275028333963,0.753599438136486,0.8714524207011686,0.960164171897634,0.7945007235890015,0.77023988005997,0.6319424460431655
a,0,random,513,0.7554662361575394,0.8982085635646034,0.7465101818016913,0.9608188928078516,0.13739376770538245,0.8860061772392492,0.7584914499882877,0.8737783413866235,0.9618590130729278,0.7949465500485908,0.7702072055254807,0.6556947276434605
a,0,random,528,0.7532953665206084,0.8977450890309173,0.7467685272131401,0.961726165315298,0.12634601579325197,0.8862457776297635,0.7569714908864309,0.8752493478594445,0.9608796274781348,0.7862118664424693,0.774865216583008,0.6511627906976745
a,0,random,543,0.753626847189371,0.8970380156534414,0.7452915710198561,0.9611428351694834,0.14683888511216858,0.8798119858989424,0.757327720611163,0.872935920459025,0.9616035717607665,0.78609239653513,0.767503805175038,0.6493845039826213
a,0,random,558,0.7619731551398388,0.9001286303421167,0.7504267259771306,0.9626993440163131,0.19804560260586318,0.88720307240055,0.7684907257754175,0.8769301733037538,0.9619334113234175,0.7888328618866068,0.7684430115683671,0.6451801933782596
a,0,random,573,0.7546448008358313,0.8967626790899345,0.7446410120611967,0.9568210383834478,0.17298735861610112,0.8884046987495263,0.7564112618618147,0.8751765958834141,0.9618327690952094,0.7933802642954181,0.7709433962264151,0.6158458244111349
a,0,random,588,0.7582220866783328,0.8985356182054428,0.7464843050242432,0.9630735657267558,0.16044260027662519,0.8875620940007642,0.7543798041281361,0.8700855072779096,0.9632196508700378,0.799560546875,0.7731376975169301,0.6525373134328358
a,0,random,603,0.7540815581668204,0.897287259797321,0.7408747606663619,0.9618419795547912,0.1391304347826087,0.8897363779377413,0.7565991525094273,0.8708113067412294,0.9609359067059717,0.804093206756257,0.7720226843100189,0.6315629742033384
a,0,random,618,0.751088430820439,0.8972161834584784,0.741710998533029,0.9633243413878207,0.12014652014652015,0.8886983037926434,0.7582166000543247,0.8729114590185502,0.9600913470910964,0.796556741028128,0.7710166635461524,0.6288339013187139
a,0,random,633,0.7518230037056193,0.8975197900038157,0.7384807564767369,0.9604132121142813,0.14697406340057637,0.8884577161516256,0.7575148752028437,0.871324497498464,0.963622520983436,0.8014545454545454,0.7522793404461687,0.6243662620986327
a,0,random,648,0.749976565352552,0.897153779725462,0.7376480248479638,0.9611489386050237,0.13617021276595745,0.8882491741387447,0.7620779019842958,0.8712405808563457,0.9622233563773025,0.8035091936065377,0.7601461819580688,0.6050235478806908
a,0,random,663,0.7719013027602672,0.899633335111035,0.7552091872091479,0.9619837236847133,0.3094521372667068,0.8940762574878768,0.7617676806971135,0.8711527516308393,0.9627797997758824,0.8149150873738616,0.7581674076937946,0.6128168792316171
a,0,random,678,0.7693985433281318,0.9000823679704826,0.7523864537804881,0.9639739239830735,0.28875,0.8926355671323704,0.7702532370803254,0.8714680827525169,0.9619394478578777,0.8093432799315152,0.7528221097703387,0.6134012414451695
a,0,random,693,0.7731870293505316,0.9010119408798155,0.758404673061936,0.9637189073706699,0.2976688583383144,0.8947645734540404,0.765002502020863,0.871916947695563,0.9635374679157517,0.8066855106304535,0.7744600938967137,0.6209284028324155
a,0,random,708,0.7681293506156117,0.8998713628425987,0.7543558140542793,0.9624211949793345,0.2779126213592233,0.8921147817699542,0.764833462432223,0.8733962720890825,0.963118096226555,0.7887425149700599,0.771870286576169,0.6187549251379039
a,0,random,723,0.7713682066861037,0.9007670473860876,0.7574847739374617,0.9640541005873012,0.29429797670141017,0.8913262129412328,0.7700765002114327,0.874220236251825,0.9622725337381292,0.7974439353749698,0.7698412698412699,0.6187810945273632
a,0,random,738,0.7744556874015068,0.9030427643308665,0.7600925449963087,0.9636096200500487,0.29418886198547217,0.8953854972771568,0.7752228641389601,0.878068214514951,0.9636474862820703,0.7997086671522214,0.7713959680486877,0.6288740071639931
a,0,random,753,0.7711698988066423,0.9022100408945937,0.7568697462324661,0.965366722187123,0.2628120893561104,0.8963676232243303,0.7713606381346833,0.8760786563969014,0.9624444918278992,0.801121130879844,0.7715582450832073,0.6334194921696822
a,0,random,768,0.7743720270496318,0.9032965664405394,0.7573377561035884,0.9638264585797688,0.2750877192982456,0.8956286487256159,0.7795500399710685,0.8771890982354373,0.9626814482490128,0.819007858546169,0.7745098039215687,0.6218671679197995
a,0,random,783,0.7797989504274054,0.9057004818533261,0.7625350929777238,0.964233800015301,0.29004329004329005,0.8936499492189389,0.7810863499101717,0.8784882056251789,0.9655517002081888,0.8262015309323629,0.7661727502710517,0.6527629776221647
a,0,random,798,0.7787114473063723,0.9060404488479157,0.7618534526498506,0.9651454027493643,0.2764786795048143,0.8956831073935199,0.7812642802741813,0.8778839997350584,0.966140915990966,0.8215496672108502,0.774745269286754,0.6495117036118431
a,0,random,813,0.7785867836677425,0.9057224695196912,0.7626852689466672,0.9647180707173417,0.2863070539419087,0.8933595813127191,0.7842664456333358,0.8788443616029823,0.9653927675604631,0.8250950570342205,0.7722021660649819,0.6370955491417287
a,0,random,828,0.7794595576007721,0.9061118809067674,0.7619493609054058,0.9651584665886012,0.27890679747722497,0.8940694126620901,0.7811463219311292,0.8802403145293104,0.9653431938987751,0.8335870116692035,0.775795475446018,0.6408890242045974
a,0,random,843,0.7792819679385438,0.9059919715109505,0.761649377716869,0.9655608820709491,0.27716994894237784,0.8938946566339652,0.7779193205944799,0.8798857519499066,0.9656084411441043,0.8320764203117145,0.7725684868542011,0.6488538029451951
a,0,random,858,0.7826401408651171,0.9057806204443091,0.7656840809977898,0.9653253506802525,0.31163434903047094,0.8912929012493418,0.7751351351351351,0.8795106765466743,0.965814102030048,0.8243037974683545,0.771599347944213,0.6591456077015644
a,0,random,873,0.7801216183200436,0.9064199929775224,0.7614915922215285,0.9662398584996347,0.28736462093862813,0.892235609103079,0.7803901950975488,0.8814391200508337,0.9655949949635434,0.827435336507528,0.7700398984403337,0.6503549312792629
a,0,random,888,0.7749804922373914,0.905233308252651,0.7579567935603113,0.966335265440866,0.2732166890982503,0.8914247195339208,0.7765775567298725,0.8824988036716405,0.9652491786590163,0.8283591815456797,0.7562658917544497,0.6348971437028267
a,0,random,903,0.7794690546627896,0.9054975990638332,0.7631191660308138,0.9665594979111719,0.30193905817174516,0.8921412355697242,0.77834008097166,0.880577856101647,0.9648225402140432,0.8311116862948104,0.7638913864412875,0.6358381502890174
a,0,random,918,0.779381905713453,0.9037069995355046,0.760724794222656,0.9662079040442872,0.3240677966101695,0.8883626522327469,0.7717024118155393,0.8794160836140623,0.9635785464697073,0.8356378815549178,0.760931899641577,0.624531975438071
a,0,uncertainty,18,0.22757210250290594,0.3455833553963725,0.29855871879488893,0.09219378911184888,0.005563282336578581,0.36033285735388254,0.11715032024904283,0.6427489177489177,0.44931777786686977,0.20103727714748784,0.0930621342992477,0.08674256641227741
a,0,uncertainty,33,0.35320795775638403,0.5289028838417064,0.4295878511569194,0.8373263858327319,0.02046479361775928,0.31485668887123386,0.345403531935963,0.4803745881264813,0.563135162601626,0.2406302026231372,0.2504769386151947,0.1262033275833287
a,0,uncertainty,48,0.3927063868268572,0.5953357653490848,0.4479791564942419,0.8405005518041189,0.009324009324009324,0.4144083713442447,0.4880005119781556,0.16827802456232036,0.7904502617801047,0.24644549763033174,0.3586919104991394,0.21825834251929052
a,0,uncertainty,63,0.44337730966053557,0.6381107715835503,0.510124505367735,0.8460295431645786,0.06431317721076546,0.5390308777610732,0.48483622220723455,0.3746027452836568,0.7837559310389248,0.19660113295568143,0.39638693414557297,0.3048392231773321
