class,al_f1,ctrl_f1,ctrl_sd,al_n,pool_n
agn,0.9795373665480427,0.9678352133083574,0.0021389257660863028,99,10136
cep,0.8062283737024222,0.5099787599569359,0.027547315121030612,93,1100
cv,0.8343558282208589,0.7342691870904612,0.05688640650862619,22,165
ecl,0.9788894536973358,0.964243812464271,0.004321954376287075,223,60563
lpv,0.982084266444456,0.9718750261687145,0.002818754475216042,192,34914
rr,0.8539103380002828,0.8255505807151724,0.016080957153069245,75,6590
yso,0.9139433551198257,0.8701256893175557,0.011285164177943719,210,6532
