class,al_f1,ctrl_f1,ctrl_sd,al_n,pool_n
agn,0.9799075391180654,0.9657051824798474,0.0041337943755316575,102,10136
cep,0.8402061855670103,0.538954310283908,0.03705757029957388,69,1100
cv,0.8823529411764706,0.7056948555929917,0.027302764922331756,33,165
ecl,0.9828644845152905,0.9622899763411462,0.003520682476115685,235,60563
lpv,0.982807501235467,0.9719131068267611,0.002202104895821099,199,34914
rr,0.8864059590316573,0.8116423424264003,0.00950691038675173,90,6590
yso,0.9167464114832536,0.863020987974453,0.015340200869684056,186,6532
