class,al_f1,ctrl_f1,ctrl_sd,al_n,pool_n
agn,0.9817922170653338,0.9606232207767087,0.004396809797526401,104,10136
cep,0.8073059360730593,0.5095408025219234,0.05696610469906904,73,1100
cv,0.8518518518518519,0.6980932658423171,0.06336267181926242,24,165
ecl,0.9824975359158926,0.9626844827921378,0.004472128371114936,227,60563
lpv,0.9834521517406463,0.9743271800530027,0.002069037127579484,217,34914
rr,0.882703777335984,0.8218976021627938,0.014827896638259421,72,6590
yso,0.918647290506587,0.8647810677692556,0.005497084975138123,197,6532
