metric,random_budget,random_score,strategy,labels_to_match,label_saving,final_score
macro_f1,918,0.7855476570975242,class_balanced,413.3500870547791,0.5497275740144019,0.8478058845159978
macro_f1,918,0.7855476570975242,margin,344.7588944146331,0.6244456487858027,0.8575599038770074
macro_f1,918,0.7855476570975242,prototype,474.54301159386694,0.4830686148214957,0.833633144524439
macro_f1,918,0.7855476570975242,quota,,,0.7745518972554201
macro_f1,918,0.7855476570975242,random,902.4624691853118,0.016925414830815076,0.7855476570975242
macro_f1,918,0.7855476570975242,uncertainty,474.54301159386694,0.4830686148214957,0.833633144524439
balanced_acc,918,0.7640598728331378,class_balanced,384.2570220274552,0.5814193659831643,0.8366142543332036
balanced_acc,918,0.7640598728331378,margin,331.32291981099047,0.6390817866982674,0.8477115203203585
balanced_acc,918,0.7640598728331378,prototype,392.9578237854372,0.5719413684254496,0.8210790131442438
balanced_acc,918,0.7640598728331378,quota,,,0.7618349773442805
balanced_acc,918,0.7640598728331378,random,887.5602261123615,0.03315879508457349,0.7640598728331378
balanced_acc,918,0.7640598728331378,uncertainty,392.9578237854372,0.5719413684254496,0.8210790131442438
f1_agn,918,0.9667064614439604,class_balanced,500.10809752276754,0.4552199373390332,0.9727670932004632
f1_agn,918,0.9667064614439604,margin,361.68502999589987,0.6060075925970589,0.9744834208347773
f1_agn,918,0.9667064614439604,prototype,523.6480652211509,0.42957727100092497,0.972652492846799
f1_agn,918,0.9667064614439604,quota,,,0.9580219616634581
f1_agn,918,0.9667064614439604,random,879.4749556967716,0.04196627919741651,0.9667064614439604
f1_agn,918,0.9667064614439604,uncertainty,523.6480652211509,0.42957727100092497,0.972652492846799
f1_cep,918,0.390112236524779,class_balanced,147.52510675764137,0.839297269327188,0.6445491636627881
f1_cep,918,0.390112236524779,margin,252.67167058871078,0.7247585287704675,0.652666283777683
f1_cep,918,0.390112236524779,prototype,188.56618415037244,0.7945902133438209,0.6677102696886517
f1_cep,918,0.390112236524779,quota,277.96873443111105,0.697201814345195,0.6566273942123355
f1_cep,918,0.390112236524779,random,902.7704877557928,0.01658988261896206,0.390112236524779
f1_cep,918,0.390112236524779,uncertainty,188.56618415037244,0.7945902133438209,0.6677102696886517
f1_cv,918,0.8922174200342704,class_balanced,375.35656904313635,0.5911148485368886,0.9224979536617243
f1_cv,918,0.8922174200342704,margin,594.8066653193086,0.35206245607918446,0.9173847236675512
