metric,target_frac,target_score,reference,strategy,labels_needed,labels_needed_random,label_saving
macro_f1,0.9,0.7552590785502205,0.8391767539446894,class_balanced,288.0761653903381,665.2792717997066,0.5669846069139696
macro_f1,0.9,0.7552590785502205,0.8391767539446894,margin,218.01930088954026,665.2792717997066,0.6722890519349014
macro_f1,0.9,0.7552590785502205,0.8391767539446894,prototype,320.364389209554,665.2792717997066,0.5184512688289422
macro_f1,0.9,0.7552590785502205,0.8391767539446894,quota,605.9186644758987,665.2792717997066,0.08922659977549913
macro_f1,0.9,0.7552590785502205,0.8391767539446894,random,665.2792717997066,665.2792717997066,0.0
macro_f1,0.9,0.7552590785502205,0.8391767539446894,uncertainty,313.8294132122856,665.2792717997066,0.5282741751996609
macro_f1,0.95,0.7972179162474549,0.8391767539446894,class_balanced,372.2734495785208,,
macro_f1,0.95,0.7972179162474549,0.8391767539446894,margin,306.3786302567033,,
macro_f1,0.95,0.7972179162474549,0.8391767539446894,prototype,490.48778375803465,,
macro_f1,0.95,0.7972179162474549,0.8391767539446894,quota,844.1070669926017,,
macro_f1,0.95,0.7972179162474549,0.8391767539446894,random,,,
macro_f1,0.95,0.7972179162474549,0.8391767539446894,uncertainty,442.8365122020744,,
macro_f1,0.99,0.8307849864052425,0.8391767539446894,class_balanced,622.9992447268675,,
macro_f1,0.99,0.8307849864052425,0.8391767539446894,margin,558.4170601293971,,
macro_f1,0.99,0.8307849864052425,0.8391767539446894,prototype,914.4668690791879,,
macro_f1,0.99,0.8307849864052425,0.8391767539446894,quota,,,
macro_f1,0.99,0.8307849864052425,0.8391767539446894,random,,,
macro_f1,0.99,0.8307849864052425,0.8391767539446894,uncertainty,850.7973554596304,,
balanced_acc,0.9,0.7574912743454882,0.8416569714949869,class_balanced,314.3208672766289,,
balanced_acc,0.9,0.7574912743454882,0.8416569714949869,margin,230.31250373538052,,
balanced_acc,0.9,0.7574912743454882,0.8416569714949869,prototype,336.475109205592,,
balanced_acc,0.9,0.7574912743454882,0.8416569714949869,quota,642.3766869316715,,
balanced_acc,0.9,0.7574912743454882,0.8416569714949869,random,,,
balanced_acc,0.9,0.7574912743454882,0.8416569714949869,uncertainty,342.44702506681364,,
balanced_acc,0.95,0.7995741229202374,0.8416569714949869,class_balanced,431.87942095888224,,
balanced_acc,0.95,0.7995741229202374,0.8416569714949869,margin,339.6947751613159,,
balanced_acc,0.95,0.7995741229202374,0.8416569714949869,prototype,535.5193983469027,,
balanced_acc,0.95,0.7995741229202374,0.8416569714949869,quota,,,
balanced_acc,0.95,0.7995741229202374,0.8416569714949869,random,,,
balanced_acc,0.95,0.7995741229202374,0.8416569714949869,uncertainty,535.483959631899,,
balanced_acc,0.99,0.833240401780037,0.8416569714949869,class_balanced,715.7797415075449,,
balanced_acc,0.99,0.833240401780037,0.8416569714949869,margin,597.5719312045474,,
balanced_acc,0.99,0.833240401780037,0.8416569714949869,prototype,,,
balanced_acc,0.99,0.833240401780037,0.8416569714949869,quota,,,
balanced_acc,0.99,0.833240401780037,0.8416569714949869,random,,,
balanced_acc,0.99,0.833240401780037,0.8416569714949869,uncertainty,,,
f1_agn,0.9,0.8710538685509698,0.9678376317232997,class_balanced,87.60598566846235,59.859657529225196,-0.4635230017092999
f1_agn,0.9,0.8710538685509698,0.9678376317232997,margin,60.621070035890206,59.859657529225196,-0.012719960956897675
f1_agn,0.9,0.8710538685509698,0.9678376317232997,prototype,92.25147298930463,59.859657529225196,-0.5411293147520068
f1_agn,0.9,0.8710538685509698,0.9678376317232997,quota,179.85988573045768,59.859657529225196,-2.0046928625116998
f1_agn,0.9,0.8710538685509698,0.9678376317232997,random,59.859657529225196,59.859657529225196,0.0
f1_agn,0.9,0.8710538685509698,0.9678376317232997,uncertainty,125.83094466105148,59.859657529225196,-1.1020993078621808
f1_agn,0.95,0.9194457501371347,0.9678376317232997,class_balanced,113.73320984833269,102.37189800221995,-0.11098076784574581
f1_agn,0.95,0.9194457501371347,0.9678376317232997,margin,89.00250767357109,102.37189800221995,0.13059629243524376
f1_agn,0.95,0.9194457501371347,0.9678376317232997,prototype,113.58637903961072,102.37189800221995,-0.10954647961247706
f1_agn,0.95,0.9194457501371347,0.9678376317232997,quota,265.9136571605604,102.37189800221995,-1.5975259065216707
f1_agn,0.95,0.9194457501371347,0.9678376317232997,random,102.37189800221995,102.37189800221995,0.0
f1_agn,0.95,0.9194457501371347,0.9678376317232997,uncertainty,147.66714540528008,102.37189800221995,-0.4424578257021072
f1_agn,0.99,0.9581592554060667,0.9678376317232997,class_balanced,272.7542142076943,336.7111521481885,0.18994600426048963
f1_agn,0.99,0.9581592554060667,0.9678376317232997,margin,182.0749055904614,336.7111521481885,0.4592549001456025
f1_agn,0.99,0.9581592554060667,0.9678376317232997,prototype,249.8074555831744,336.7111521481885,0.2580956882793335
f1_agn,0.99,0.9581592554060667,0.9678376317232997,quota,583.9824013042685,336.7111521481885,-0.734372020583549
f1_agn,0.99,0.9581592554060667,0.9678376317232997,random,336.7111521481885,336.7111521481885,0.0
f1_agn,0.99,0.9581592554060667,0.9678376317232997,uncertainty,294.1557871890703,336.7111521481885,0.12638537419274237
f1_cep,0.9,0.4500732086754863,0.5000813429727625,class_balanced,234.0616206509164,,
f1_cep,0.9,0.4500732086754863,0.5000813429727625,margin,289.71449123040634,,
f1_cep,0.9,0.4500732086754863,0.5000813429727625,prototype,280.12746192429125,,
f1_cep,0.9,0.4500732086754863,0.5000813429727625,quota,444.8923048182744,,
f1_cep,0.9,0.4500732086754863,0.5000813429727625,random,,,
f1_cep,0.9,0.4500732086754863,0.5000813429727625,uncertainty,257.3178602248688,,
f1_cep,0.95,0.47507727582412435,0.5000813429727625,class_balanced,257.83301028179585,,
f1_cep,0.95,0.47507727582412435,0.5000813429727625,margin,302.21930543997416,,
f1_cep,0.95,0.47507727582412435,0.5000813429727625,prototype,289.1278395107268,,
f1_cep,0.95,0.47507727582412435,0.5000813429727625,quota,476.7422935170087,,
f1_cep,0.95,0.47507727582412435,0.5000813429727625,random,,,
f1_cep,0.95,0.47507727582412435,0.5000813429727625,uncertainty,292.38075628799754,,
f1_cep,0.99,0.4950805295430349,0.5000813429727625,class_balanced,297.3103344497705,,
f1_cep,0.99,0.4950805295430349,0.5000813429727625,margin,324.265560981934,,
f1_cep,0.99,0.4950805295430349,0.5000813429727625,prototype,297.26936031079606,,
f1_cep,0.99,0.4950805295430349,0.5000813429727625,quota,568.7157741207818,,
f1_cep,0.99,0.4950805295430349,0.5000813429727625,random,,,
f1_cep,0.99,0.4950805295430349,0.5000813429727625,uncertainty,299.8321459654282,,
f1_cv,0.9,0.8118952217573151,0.9021058019525723,class_balanced,130.18890614279613,309.7523904420655,0.5797000760607658
f1_cv,0.9,0.8118952217573151,0.9021058019525723,margin,120.55818534927234,309.7523904420655,0.6107917515108866
f1_cv,0.9,0.8118952217573151,0.9021058019525723,prototype,144.62964701426577,309.7523904420655,0.5330798034912452
f1_cv,0.9,0.8118952217573151,0.9021058019525723,quota,445.84633586642485,309.7523904420655,-0.4393636647327622
f1_cv,0.9,0.8118952217573151,0.9021058019525723,random,309.7523904420655,309.7523904420655,0.0
