metric,target_frac,target_score,reference,strategy,labels_needed,labels_needed_random,label_saving
macro_f1,0.9,0.8411416659454325,0.9346018510504805,class_balanced,473.47202018008676,,
macro_f1,0.9,0.8411416659454325,0.9346018510504805,margin,194.31423133789465,,
macro_f1,0.9,0.8411416659454325,0.9346018510504805,prototype,337.41749940813935,,
macro_f1,0.9,0.8411416659454325,0.9346018510504805,quota,,,
macro_f1,0.9,0.8411416659454325,0.9346018510504805,random,,,
macro_f1,0.9,0.8411416659454325,0.9346018510504805,uncertainty,450.23253006030404,,
macro_f1,0.95,0.8878717584979565,0.9346018510504805,class_balanced,728.0660310015235,,
macro_f1,0.95,0.8878717584979565,0.9346018510504805,margin,350.0905938819875,,
macro_f1,0.95,0.8878717584979565,0.9346018510504805,prototype,823.7454471827651,,
macro_f1,0.95,0.8878717584979565,0.9346018510504805,quota,,,
macro_f1,0.95,0.8878717584979565,0.9346018510504805,random,,,
macro_f1,0.95,0.8878717584979565,0.9346018510504805,uncertainty,837.4681539032762,,
macro_f1,0.99,0.9252558325399758,0.9346018510504805,class_balanced,,,
macro_f1,0.99,0.9252558325399758,0.9346018510504805,margin,,,
macro_f1,0.99,0.9252558325399758,0.9346018510504805,prototype,,,
macro_f1,0.99,0.9252558325399758,0.9346018510504805,quota,,,
macro_f1,0.99,0.9252558325399758,0.9346018510504805,random,,,
macro_f1,0.99,0.9252558325399758,0.9346018510504805,uncertainty,,,
balanced_acc,0.9,0.828773675663005,0.920859639625561,class_balanced,550.0477063233766,,
balanced_acc,0.9,0.828773675663005,0.920859639625561,margin,211.4391891199791,,
balanced_acc,0.9,0.828773675663005,0.920859639625561,prototype,481.3039856408918,,
balanced_acc,0.9,0.828773675663005,0.920859639625561,quota,,,
balanced_acc,0.9,0.828773675663005,0.920859639625561,random,,,
balanced_acc,0.9,0.828773675663005,0.920859639625561,uncertainty,519.8704992238028,,
balanced_acc,0.95,0.874816657644283,0.920859639625561,class_balanced,810.3718780561601,,
balanced_acc,0.95,0.874816657644283,0.920859639625561,margin,370.7904453972206,,
balanced_acc,0.95,0.874816657644283,0.920859639625561,prototype,,,
balanced_acc,0.95,0.874816657644283,0.920859639625561,quota,,,
balanced_acc,0.95,0.874816657644283,0.920859639625561,random,,,
balanced_acc,0.95,0.874816657644283,0.920859639625561,uncertainty,,,
balanced_acc,0.99,0.9116510432293055,0.920859639625561,class_balanced,,,
balanced_acc,0.99,0.9116510432293055,0.920859639625561,margin,,,
balanced_acc,0.99,0.9116510432293055,0.920859639625561,prototype,,,
balanced_acc,0.99,0.9116510432293055,0.920859639625561,quota,,,
balanced_acc,0.99,0.9116510432293055,0.920859639625561,random,,,
balanced_acc,0.99,0.9116510432293055,0.920859639625561,uncertainty,,,
f1_agn,0.9,0.8858369891168143,0.9842633212409048,class_balanced,73.58291510236634,147.50450188183976,0.5011480045448998
f1_agn,0.9,0.8858369891168143,0.9842633212409048,margin,80.48320618535774,147.50450188183976,0.45436779787352
f1_agn,0.9,0.8858369891168143,0.9842633212409048,prototype,70.55171408907695,147.50450188183976,0.5216978926813146
f1_agn,0.9,0.8858369891168143,0.9842633212409048,quota,825.0809357858172,147.50450188183976,-4.593598332658065
f1_agn,0.9,0.8858369891168143,0.9842633212409048,random,147.50450188183976,147.50450188183976,0.0
f1_agn,0.9,0.8858369891168143,0.9842633212409048,uncertainty,71.12614525906257,147.50450188183976,0.5178035629309876
f1_agn,0.95,0.9350501551788595,0.9842633212409048,class_balanced,96.12821263348577,326.8367071147857,0.7058830586011096
f1_agn,0.95,0.9350501551788595,0.9842633212409048,margin,92.12899299967329,326.8367071147857,0.7181191983820917
f1_agn,0.95,0.9350501551788595,0.9842633212409048,prototype,191.07536638769452,326.8367071147857,0.415379722570181
f1_agn,0.95,0.9350501551788595,0.9842633212409048,quota,,326.8367071147857,
f1_agn,0.95,0.9350501551788595,0.9842633212409048,random,326.8367071147857,326.8367071147857,0.0
f1_agn,0.95,0.9350501551788595,0.9842633212409048,uncertainty,146.68531864956861,326.8367071147857,0.5511969266106563
f1_agn,0.99,0.9744206880284957,0.9842633212409048,class_balanced,795.29514308109,,
f1_agn,0.99,0.9744206880284957,0.9842633212409048,margin,444.8741474610834,,
f1_agn,0.99,0.9744206880284957,0.9842633212409048,prototype,522.6971009489104,,
f1_agn,0.99,0.9744206880284957,0.9842633212409048,quota,,,
f1_agn,0.99,0.9744206880284957,0.9842633212409048,random,,,
f1_agn,0.99,0.9744206880284957,0.9842633212409048,uncertainty,549.466093417743,,
f1_cep,0.9,0.7694695583381992,0.8549661759313324,class_balanced,573.4942804228625,,
f1_cep,0.9,0.7694695583381992,0.8549661759313324,margin,418.34479803003256,,
f1_cep,0.9,0.7694695583381992,0.8549661759313324,prototype,488.3580755939818,,
f1_cep,0.9,0.7694695583381992,0.8549661759313324,quota,,,
f1_cep,0.9,0.7694695583381992,0.8549661759313324,random,,,
f1_cep,0.9,0.7694695583381992,0.8549661759313324,uncertainty,493.7594277901072,,
f1_cep,0.95,0.8122178671347657,0.8549661759313324,class_balanced,885.3789756074937,,
f1_cep,0.95,0.8122178671347657,0.8549661759313324,margin,861.4894391485739,,
f1_cep,0.95,0.8122178671347657,0.8549661759313324,prototype,,,
f1_cep,0.95,0.8122178671347657,0.8549661759313324,quota,,,
f1_cep,0.95,0.8122178671347657,0.8549661759313324,random,,,
f1_cep,0.95,0.8122178671347657,0.8549661759313324,uncertainty,,,
f1_cep,0.99,0.846416514172019,0.8549661759313324,class_balanced,,,
f1_cep,0.99,0.846416514172019,0.8549661759313324,margin,,,
f1_cep,0.99,0.846416514172019,0.8549661759313324,prototype,,,
f1_cep,0.99,0.846416514172019,0.8549661759313324,quota,,,
f1_cep,0.99,0.846416514172019,0.8549661759313324,random,,,
f1_cep,0.99,0.846416514172019,0.8549661759313324,uncertainty,,,
f1_cv,0.9,0.783682634730539,0.8707584830339322,class_balanced,192.09584600823496,,
f1_cv,0.9,0.783682634730539,0.8707584830339322,margin,374.4514101309553,,
f1_cv,0.9,0.783682634730539,0.8707584830339322,prototype,226.48199780941565,,
f1_cv,0.9,0.783682634730539,0.8707584830339322,quota,,,
f1_cv,0.9,0.783682634730539,0.8707584830339322,random,,,
f1_cv,0.9,0.783682634730539,0.8707584830339322,uncertainty,163.22342305656161,,
f1_cv,0.95,0.8272205588822356,0.8707584830339322,class_balanced,343.8595026367201,,
f1_cv,0.95,0.8272205588822356,0.8707584830339322,margin,742.4904330002793,,
f1_cv,0.95,0.8272205588822356,0.8707584830339322,prototype,278.07096240137287,,
f1_cv,0.95,0.8272205588822356,0.8707584830339322,quota,,,
f1_cv,0.95,0.8272205588822356,0.8707584830339322,random,,,
f1_cv,0.95,0.8272205588822356,0.8707584830339322,uncertainty,263.5046927077813,,
