class,al_f1,ctrl_f1,ctrl_sd,al_n,pool_n
agn,0.9773457010346058,0.9590743946899369,0.005262119803106109,86,10136
cep,0.8307155322862129,0.5574048123420342,0.028403937077903674,86,1100
cv,0.8620689655172413,0.6721421235349748,0.03309202191585927,33,165
ecl,0.978918806094761,0.9650738124166868,0.00503540106445806,222,60563
lpv,0.9824460731891808,0.9730110220993285,0.002208038423609474,210,34914
rr,0.8481934731934732,0.8240384959903112,0.019938654476948432,83,6590
yso,0.9088957466791896,0.8589882468834034,0.00977330225695797,194,6532
