class,prevalence,class_balanced,margin,prototype,quota,uncertainty
cv,0.0013700121577237838,,,,,
cep,0.009172730407011559,,,,,
yso,0.054428496252880654,,,,,
rr,0.054918434375510354,,,,,
agn,0.0844689615126386,0.7058830586011096,0.7181191983820917,0.415379722570181,,0.5511969266106563
lpv,0.29095066141646553,-0.051829669662723066,0.10503854580502768,-0.32849149080786266,-1.4773531797102466,-0.41673710358334093
ecl,0.5046907038777695,-0.3715641846339715,0.4014295167417183,-2.0347032829525222,-7.1335190515127564,-0.9375661557272651
