track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ea,f1_ew,f1_lpv,f1_rr,f1_sn,f1_yso
a,0,random,18,0.3036953078422193,0.4252805490964926,0.3723899900565813,0.5958878871993908,0.005401512423478574,0.3084546299163828,0.2053858104609011,0.6135260816821674,0.3997252554703598,0.17904290429042904,0.34325996259531005,0.08257372654155495
a,0,random,33,0.3387871053844006,0.5365542300356971,0.34838674052099594,0.10900669395006504,0.004041478330231322,0.5594966380852507,0.34148257241040747,0.7340953659700016,0.7906176759658274,0.07524192671523323,0.378932384341637,0.05616921269095182
a,0,random,48,0.44432336661856797,0.6882820462631303,0.44482928444331193,0.7793745759575649,0.02665206279664111,0.5572737004876889,0.30942770251589713,0.7330043665021833,0.8490838004616327,0.18744906275468623,0.3323817292006525,0.22426329889016455
a,0,random,63,0.5178127356604754,0.7511207678970306,0.5084389919772263,0.8726931976822015,0.039546191247974066,0.49401982731052124,0.4874062277356356,0.7599499374217772,0.89414406257922,0.33485342019543973,0.3700294550810015,0.40767230169050717
a,0,random,78,0.5785442224175721,0.7697532224320326,0.5893683930898173,0.8989214053453882,0.03646370829033368,0.5958023019634394,0.4864142538975501,0.7343531487338368,0.8939260042090686,0.4460690824327188,0.6764705882352942,0.43847750865051904
a,0,random,93,0.6197588525481934,0.8093880120260153,0.619947335707556,0.89637347225005,0.031869413136416634,0.7846421579290842,0.5598575878949711,0.7792158112846669,0.9203219498885908,0.46721802708857724,0.719463904964971,0.4188673484964128
a,0,random,108,0.6384526736349615,0.8225357766822492,0.6333383642676396,0.90654861734077,0.029636281993713515,0.7913937263673644,0.5935871591038758,0.7848614354319954,0.9291193673584665,0.5443484608833191,0.7137488255559036,0.4528301886792453
a,0,random,123,0.6337264424812006,0.8364857206291911,0.6139703904560664,0.9198234065197682,0.03980099502487562,0.8135628050346776,0.6708049976277084,0.8219597000544594,0.931969466753491,0.43506397999705837,0.6347736625514403,0.4357789687673258
a,0,random,138,0.6428402512398652,0.8389791142300678,0.6260380655298111,0.9204999608181177,0.038903625110521665,0.8164667281861991,0.6472071774093522,0.8342333980254831,0.9320632054176072,0.5393343419062028,0.6333155934007451,0.4235382308845577
a,0,random,153,0.6658319891477608,0.8483808591746962,0.6460235019881312,0.9203292924926813,0.029743127534925643,0.8397324485174067,0.7012264797745106,0.8371019843101062,0.9295636074166167,0.5289825141126256,0.790224032586558,0.4155844155844156
