class,prevalence,class_balanced,margin,prototype,quota,uncertainty
cep,0.007043039825905338,,,,,
sn,0.02100870692240834,,,,,
yso,0.027697077039952885,,,,,
rr,0.02791819827788153,,,,,
cv,0.07512867723524015,,,,,
ea,0.1014815122941219,,,,,
ew,0.16060845558856562,,,,,
agn,0.18711454299056623,0.1446656150266464,0.29073449167057563,-0.5753867691105423,-1.3388054559426992,-0.5753867691105423
lpv,0.391999789825358,0.5401554085154517,0.5840215833826565,0.4221528496320612,0.0025801581069846307,0.4221528496320612
