class,al_f1,ctrl_f1,ctrl_sd,al_n,pool_n
agn,0.9812967581047382,0.9628995214776438,0.004914677591065885,108,10136
cep,0.8222409435551812,0.5188462566323424,0.030637402443139995,94,1100
cv,0.8735632183908046,0.6939680901338229,0.08576925546808856,31,165
ecl,0.9787253088261622,0.9609880718598449,0.002654995544471942,216,60563
lpv,0.9820870651947511,0.9731919928020842,0.0016653304569145893,195,34914
rr,0.8471513915197435,0.8115711318671588,0.01530587274966005,73,6590
yso,0.9075128831027935,0.8629857643980758,0.007024842775379363,197,6532
