track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_yso
b,0,random,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,random,29,0.5222442078432932,0.8172725771709289,0.5996336088429473,0.8058005427408412,0.13872022419430172,0.3261538461538461,0.9201326640372893,0.8590055726884164,0.3999407933688573,0.20595581171950048
b,0,random,44,0.572052613684738,0.8512296642618435,0.6190577408592745,0.7692182675117829,0.30952380952380953,0.4375,0.949319896309673,0.9288851651560159,0.4931262274593822,0.11679492983250339
b,0,random,59,0.5744324792889682,0.850309997171677,0.5803471438921824,0.7710352692025739,0.31643625192012287,0.47761194029850745,0.9473440707862244,0.9351445877791013,0.4317399617590822,0.14171527327716568
b,0,uncertainty,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,uncertainty,29,0.3897738027994378,0.6485007629336881,0.4951717715332065,0.7402728650833754,0.10734345745787394,0.11001410437235543,0.6201284961335745,0.8842839887263455,0.15712401970990353,0.1092496881126359
b,0,uncertainty,44,0.49367488196756654,0.7426040715028919,0.5197544997702187,0.784245215595966,0.227792436235708,0.43548387096774194,0.8204169849033914,0.8238844078222016,0.2004458660463313,0.16345539220162542
b,0,uncertainty,59,0.5457290424931502,0.7458103159551989,0.5976944914978881,0.8809387051776483,0.2003577817531306,0.6225165562913907,0.8114567966716945,0.7949425017601502,0.2680745976326322,0.2418163581654053
b,0,margin,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,margin,29,0.4862087958808346,0.7384008161598653,0.6375582509865284,0.6844930618859516,0.06576168929110106,0.08897742363877822,0.744063421153811,0.8669279764821166,0.4410702712711786,0.5121677274429053
b,0,margin,44,0.5133328521113809,0.8347826041684004,0.5569166192252822,0.7735185941969759,0.18799710773680406,0.13966480446927373,0.9227199503421367,0.9144379440033431,0.2646445497630332,0.39034701426809937
b,0,margin,59,0.6799981436104469,0.8868006687871685,0.6479773336633101,0.7923575456611396,0.37894736842105264,0.6081081081081081,0.9497561330712674,0.9531861593862533,0.498271225509028,0.579360465116279
b,0,class_balanced,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,class_balanced,29,0.4426599102573894,0.7218064236612088,0.5084952015263765,0.7195909129013329,0.1319769040417927,0.24615384615384617,0.7514450867052023,0.8968894629211065,0.1735077970962538,0.17905536198219124
b,0,class_balanced,44,0.5119505734304417,0.7493338320113292,0.5350015055385607,0.7894986257226804,0.10403626160155408,0.6142857142857143,0.7773623559539052,0.9206380319996079,0.19870228364371786,0.17913074080591238
b,0,class_balanced,59,0.599978173489027,0.8484767776688781,0.5632441147397189,0.8227197828826209,0.38969957081545065,0.5441176470588235,0.9380315569428138,0.9268158794320932,0.2089009990917348,0.36956177819965197
b,0,quota,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,quota,29,0.4860910180846127,0.7753096428642363,0.5047149360282585,0.7694683791253455,0.14849550605705353,0.3586206896551724,0.8469217970049917,0.8934514361783831,0.16721649484536083,0.2184628237259816
b,0,quota,44,0.4726711706503659,0.7941463655257599,0.4903532159639324,0.7730140753923314,0.0983201581027668,0.32061068702290074,0.9041051483806324,0.8673851680780087,0.11298606016140866,0.2322768974145121
b,0,quota,59,0.5053084006928951,0.8036426514627965,0.5188971109269191,0.8050324294756583,0.08564957792876261,0.36496350364963503,0.907140502801666,0.8522542517226251,0.29984612002637945,0.22227241924553873
b,0,prototype,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,prototype,29,0.3897738027994378,0.6485007629336881,0.4951717715332065,0.7402728650833754,0.10734345745787394,0.11001410437235543,0.6201284961335745,0.8842839887263455,0.15712401970990353,0.1092496881126359
b,0,prototype,44,0.49367488196756654,0.7426040715028919,0.5197544997702187,0.784245215595966,0.227792436235708,0.43548387096774194,0.8204169849033914,0.8238844078222016,0.2004458660463313,0.16345539220162542
b,0,prototype,59,0.5457290424931502,0.7458103159551989,0.5976944914978881,0.8809387051776483,0.2003577817531306,0.6225165562913907,0.8114567966716945,0.7949425017601502,0.2680745976326322,0.2418163581654053
