metric,random_budget,random_score,strategy,labels_to_match,label_saving,final_score
macro_f1,918,0.7740466932583135,class_balanced,321.75979387606395,0.6494991352112593,0.8493932401750344
macro_f1,918,0.7740466932583135,margin,253.64831083959706,0.7236946505015281,0.8584336710194209
macro_f1,918,0.7740466932583135,prototype,359.942870108742,0.607905370251915,0.8325895730278893
macro_f1,918,0.7740466932583135,quota,664.4785821289729,0.27616712186386394,0.7994392680287096
macro_f1,918,0.7740466932583135,random,918.0,0.0,0.7740466932583135
macro_f1,918,0.7740466932583135,uncertainty,361.80170690889497,0.6058804935632952,0.8341401090638305
balanced_acc,918,0.7517636298307987,class_balanced,306.32862616056315,0.6663086860996045,0.8442945792567466
balanced_acc,918,0.7517636298307987,margin,219.8711311869856,0.7604889638485995,0.8552904486222381
balanced_acc,918,0.7517636298307987,prototype,328.8780715313264,0.6417450201183807,0.823210171392488
balanced_acc,918,0.7517636298307987,quota,613.4168127396274,0.33178996433591784,0.7849746388456402
balanced_acc,918,0.7517636298307987,random,884.4383109692731,0.036559574107545685,0.7517636298307987
balanced_acc,918,0.7517636298307987,uncertainty,330.2664826387194,0.6402325897181705,0.8246908584745645
f1_agn,918,0.9652579621565863,class_balanced,422.38128332575207,0.5398896695797908,0.9739276990078579
f1_agn,918,0.9652579621565863,margin,318.63791083561796,0.6528998792640327,0.9734747137312916
f1_agn,918,0.9652579621565863,prototype,349.3352303259405,0.6194605334140081,0.9741481900310177
f1_agn,918,0.9652579621565863,quota,675.8362938460773,0.2637948868779114,0.968771286375134
f1_agn,918,0.9652579621565863,random,883.2091957725015,0.037898479550651946,0.9652579621565863
f1_agn,918,0.9652579621565863,uncertainty,351.7866497197109,0.6167901419175262,0.974907088216502
f1_cep,918,0.3387917040373821,class_balanced,134.91085170820816,0.8530382878995554,0.6872482376250982
f1_cep,918,0.3387917040373821,margin,131.37735291942388,0.8568874151204533,0.6474177315082004
f1_cep,918,0.3387917040373821,prototype,178.88363686615557,0.8051376504725973,0.646072402973024
f1_cep,918,0.3387917040373821,quota,259.2683803394009,0.7175725704363825,0.6052048393177885
f1_cep,918,0.3387917040373821,random,871.4856758059715,0.05066919846844065,0.3387917040373821
f1_cep,918,0.3387917040373821,uncertainty,175.89408846530333,0.8083942391445498,0.6557274327214209
f1_cv,918,0.8872888153267269,class_balanced,329.30288878250894,0.6412822562282038,0.9193484743742382
f1_cv,918,0.8872888153267269,margin,318.7668764902555,0.6527593938014645,0.9162838643381572
f1_cv,918,0.8872888153267269,prototype,707.6520990017713,0.22913714705689406,0.886150179296106
f1_cv,918,0.8872888153267269,quota,661.2521036006162,0.2796818043566272,0.8844233240512501
f1_cv,918,0.8872888153267269,random,795.3002133007709,0.1336598983651733,0.8872888153267269
f1_cv,918,0.8872888153267269,uncertainty,684.2866547173124,0.2545897007436684,0.8872535812550119
f1_ea,918,0.7737838727709423,class_balanced,,,0.7719372293779538
f1_ea,918,0.7737838727709423,margin,339.3901310448374,0.6302939748966913,0.8389469580396064
f1_ea,918,0.7737838727709423,prototype,761.7692100964981,0.1701860456465162,0.7793012160424347
f1_ea,918,0.7737838727709423,quota,,,0.7261228466087106
f1_ea,918,0.7737838727709423,random,918.0,0.0,0.7737838727709423
f1_ea,918,0.7737838727709423,uncertainty,728.2629343991839,0.20668525664576917,0.7866088321306426
f1_ew,918,0.8748665796258134,class_balanced,,,0.8700555750599832
f1_ew,918,0.8748665796258134,margin,335.8089871074111,0.6341950031509683,0.9043399797765499
f1_ew,918,0.8748665796258134,prototype,728.6129588014163,0.20630396644725893,0.88295240152284
f1_ew,918,0.8748665796258134,quota,,,0.8544825947549732
f1_ew,918,0.8748665796258134,random,918.0,0.0,0.8748665796258134
f1_ew,918,0.8748665796258134,uncertainty,723.6260106143155,0.21173637187983058,0.884713504972263
f1_lpv,918,0.9651714909054452,class_balanced,241.09982947705703,0.7373640201774978,0.9787803970520279
f1_lpv,918,0.9651714909054452,margin,238.55047507212316,0.7401410946926763,0.9796745398851392
f1_lpv,918,0.9651714909054452,prototype,202.14437036505697,0.7797991608223781,0.9791862587591051
f1_lpv,918,0.9651714909054452,quota,549.9179130152511,0.4009608790683539,0.9752766418496346
f1_lpv,918,0.9651714909054452,random,899.3176293663095,0.020351166267636753,0.9651714909054452
f1_lpv,918,0.9651714909054452,uncertainty,205.40814421880606,0.7762438516135011,0.9781696503771513
f1_rr,918,0.7544592295578401,class_balanced,373.59940127275104,0.5930289746484193,0.8605857377155193
f1_rr,918,0.7544592295578401,margin,263.49760228017874,0.7129655748581931,0.8697671771153566
f1_rr,918,0.7544592295578401,prototype,385.71195760064046,0.5798344688446182,0.8723544693977097
f1_rr,918,0.7544592295578401,quota,719.3011755185747,0.21644752122159616,0.7954217681327218
f1_rr,918,0.7544592295578401,random,885.171780134791,0.03576058808846297,0.7544592295578401
f1_rr,918,0.7544592295578401,uncertainty,361.022253477024,0.606729571375791,0.8674724757344272
f1_sn,918,0.8038193947162882,class_balanced,619.9079897578825,0.3247189654053567,0.8177477479615863
f1_sn,918,0.8038193947162882,margin,603.412923139086,0.34268744756090846,0.8394239014587537
f1_sn,918,0.8038193947162882,prototype,,,0.7127205700762274
f1_sn,918,0.8038193947162882,quota,,,0.6779801105264702
f1_sn,918,0.8038193947162882,random,677.7721578390256,0.2616861025718676,0.8038193947162882
f1_sn,918,0.8038193947162882,uncertainty,,,0.7125007898061563
f1_yso,918,0.6029811902277981,class_balanced,239.70924589839635,0.7388788171041434,0.7649080634010459
f1_yso,918,0.6029811902277981,margin,210.71301793628743,0.7704651220737609,0.7565741733217335
f1_yso,918,0.6029811902277981,prototype,217.59346298612476,0.7629700838931103,0.7604204691525386
f1_yso,918,0.6029811902277981,quota,510.61846470445687,0.44377073561606006,0.7072700006417028
f1_yso,918,0.6029811902277981,random,769.305607058238,0.16197646289952286,0.6029811902277981
f1_yso,918,0.6029811902277981,uncertainty,215.36137973619248,0.7654015471283306,0.7599076263609001
