seed,variant,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_yso
0,natural,120000,0.822524723949141,0.9571193409144143,0.83659942059563,0.961977865048197,0.6293103448275862,0.4827586206896552,0.9742432448697117,0.9717475804137428,0.8704103671706264,0.8672250446244679
0,class_weight,120000,0.7395075946324337,0.923214325549127,0.8814975499347666,0.9587443946188341,0.5554916618746406,0.1770573566084788,0.9410900451710718,0.9430814013930762,0.8016478856173512,0.7994404171435838
0,undersampled,1155,0.7698391013532248,0.939345813712033,0.9301568061699337,0.9679139632032708,0.4743752647183397,0.3791469194312796,0.9502491447851419,0.9737183389355001,0.7685688405797102,0.874901237819331
0,matched_budget,910,0.7404255229462591,0.9220849527663593,0.9276895907191012,0.9693306071650813,0.4900486510393631,0.27938671209540034,0.9283461305636092,0.9704434808055549,0.6773871354374751,0.8680359435173299
1,natural,120000,0.7836353201679963,0.9402276891638564,0.8432279710658245,0.955303773753234,0.572218382861092,0.39552238805970147,0.9571960582979571,0.9658473143451685,0.8375404530744337,0.8018188707843881
1,class_weight,120000,0.7035301459118982,0.9161843813334182,0.8569416860478121,0.9413047428675269,0.4232292124945007,0.1691275167785235,0.9410107964324832,0.9467240503622123,0.7398791196259551,0.7634355828220859
1,undersampled,1155,0.7671952106833644,0.9302163535805402,0.936121980269057,0.9676025917926566,0.4722689075630252,0.4398976982097187,0.9414911190472445,0.9694388244063465,0.7105708245243129,0.8690965092402464
1,matched_budget,910,0.7695730001326286,0.9326632271091329,0.9325383649991341,0.9667115298340063,0.5011165698972756,0.39903846153846156,0.9432419733750979,0.9690327716598116,0.7358591821401739,0.8720105124835742
2,natural,120000,0.7251428668063176,0.9405847409354675,0.7405750081184691,0.959404964602563,0.5037783375314862,0.05,0.9593870649148535,0.9662195598385206,0.861436170212766,0.7757739705440336
2,class_weight,120000,0.6983929761055919,0.9119950836267444,0.8586678325712935,0.942379014020805,0.42259594652867616,0.12121212121212122,0.9316850190854683,0.9440265545948551,0.7429621969435827,0.7838899803536346
2,undersampled,1155,0.7580386125217646,0.9353535917430681,0.934096422872871,0.9665566752876126,0.4890638670166229,0.3091247672253259,0.9461455246695828,0.9709691115592824,0.7508261731658956,0.8735841687280302
2,matched_budget,910,0.7453832083638356,0.930760063066355,0.9294105955129665,0.9693832009283228,0.41703703703703704,0.3135755258126195,0.9438805127159197,0.9631118974853895,0.7477317990705908,0.8629624854969705
3,natural,120000,0.7360301394633952,0.9456703224601865,0.7401422823820013,0.9575,0.6308139534883721,0.0,0.9657064878815746,0.9714629489158013,0.8695182836324382,0.7572093023255814
3,class_weight,120000,0.6555928067988498,0.8879587698195154,0.8504237177094515,0.9053302961275627,0.33773453787352326,0.13636363636363635,0.9151991765973528,0.9346406999106152,0.7220168067226891,0.6378644939965694
3,undersampled,1155,0.7556493215830006,0.9364788315600261,0.9330938981587139,0.971479342514438,0.4440015942606616,0.3111954459203036,0.9471769704761756,0.9687931217492836,0.7686583990980834,0.8782403770620582
3,matched_budget,910,0.7515029938913332,0.9345412011947571,0.9307636535297783,0.9718597425654683,0.44909456740442655,0.2961608775137112,0.9455105053233253,0.9680231785438983,0.7599555061179087,0.8699165797705943
4,natural,120000,0.7776725085437096,0.9517809734559844,0.7879748790933466,0.9566000360165676,0.620933521923621,0.2222222222222222,0.9718159544245194,0.9666971398720126,0.858494391133937,0.8469442942130881
4,class_weight,120000,0.6884839846566699,0.9140315337670939,0.8442889386518798,0.9292910955795589,0.3351145038167939,0.1570552147239264,0.946376472423746,0.9335026615147667,0.7881642512077295,0.7298836933301686
4,undersampled,1155,0.7510740723525002,0.9255139405038675,0.928101362254543,0.967948717948718,0.49622054246331704,0.3287671232876712,0.9357809720232378,0.966045592867439,0.6890825217837007,0.8736730360934183
4,matched_budget,910,0.7377685076994401,0.9254877673362735,0.9314975419256877,0.9700267618198037,0.42499064721286944,0.2902097902097902,0.9335070051148457,0.9690803803856983,0.7245794095862872,0.851985559566787
