class,prevalence,class_balanced,margin,prototype,quota,uncertainty
cep,0.007043039825905338,,,,,
sn,0.02100870692240834,,,,,
yso,0.027697077039952885,,,,,
rr,0.02791819827788153,,,,,
cv,0.07512867723524015,0.43656993116659476,0.3285531878857393,0.3173603813180635,-0.5820897628594706,0.30615263928714465
ea,0.1014815122941219,,,,,
ew,0.16060845558856562,0.10191788751469477,0.6307922964848354,0.1891378653838758,,0.1889425448668444
agn,0.18711454299056623,-0.11098076784574581,0.13059629243524376,-0.10954647961247706,-1.5975259065216707,-0.4424578257021072
lpv,0.391999789825358,0.15889644325050403,0.3321900717898987,0.22558248078389243,-0.45354534867593016,0.1846565188530072
