class,prevalence,class_balanced,margin,prototype,quota,uncertainty
cv,0.0013700121577237838,-0.07032197876480725,-0.22129279546173095,-0.3541295014060574,-2.8393304803795747,-0.3541295014060574
cep,0.009172730407011559,,,,,
yso,0.054428496252880654,0.6236434130862226,0.6930563866697919,0.4802310485828188,,0.4802310485828188
rr,0.054918434375510354,0.2170482452254774,0.7353939761253925,0.0866722759660325,,-0.03289847102877248
agn,0.0844689615126386,0.427418630941936,0.3986890030824382,0.40369273054883725,-3.130696567995621,0.40369273054883725
lpv,0.29095066141646553,-0.039055073189282426,0.028380394459865073,-0.10006524934882062,-2.4808740753512804,-0.10006524934882062
ecl,0.5046907038777695,-0.3614509052070778,0.05828836565078421,-2.045744576709447,,-2.045744576709447
