metric,random_budget,random_score,strategy,labels_to_match,label_saving,final_score
macro_f1,914,0.8076431344405665,class_balanced,330.3575122912783,0.638558520469061,0.9085901498603469
macro_f1,914,0.8076431344405665,margin,126.78515073030633,0.8612853930740632,0.9134435715801493
macro_f1,914,0.8076431344405665,prototype,236.6233113997408,0.7411123507661479,0.8943855449738406
macro_f1,914,0.8076431344405665,quota,,,0.7659360083443869
macro_f1,914,0.8076431344405665,random,709.6872013228397,0.2235369788590376,0.8076431344405665
macro_f1,914,0.8076431344405665,uncertainty,264.25853207823803,0.710876879564291,0.8965549049541623
balanced_acc,914,0.7719252387280363,class_balanced,295.71667591481673,0.6764587790866338,0.8903038589591569
balanced_acc,914,0.7719252387280363,margin,107.15330052369558,0.882764441440158,0.8992886303295432
balanced_acc,914,0.7719252387280363,prototype,208.6294308372009,0.7717402288433249,0.8723716769264963
balanced_acc,914,0.7719252387280363,quota,,,0.7693367845457612
balanced_acc,914,0.7719252387280363,random,670.9488228300213,0.26592032513126773,0.7719252387280363
balanced_acc,914,0.7719252387280363,uncertainty,230.7685122563755,0.7475180391068101,0.8744147492369182
f1_agn,914,0.9618445474584957,class_balanced,228.69340272866103,0.7497883996404147,0.976681133332725
f1_agn,914,0.9618445474584957,margin,180.20667743050362,0.8028373332270201,0.9784332749058898
f1_agn,914,0.9618445474584957,prototype,275.6935389152093,0.6983659311649789,0.980385202312172
f1_agn,914,0.9618445474584957,quota,,,0.9298069875009712
f1_agn,914,0.9618445474584957,random,914.0,0.0,0.9618445474584957
f1_agn,914,0.9618445474584957,uncertainty,266.3392057047351,0.708600431395257,0.980589455880029
f1_cep,914,0.43777493395519823,class_balanced,94.81887914881979,0.8962594320034795,0.8172070989322818
f1_cep,914,0.43777493395519823,margin,80.01005277771623,0.9124616490396977,0.8066787251390832
f1_cep,914,0.43777493395519823,prototype,127.41451631415633,0.8605968092842928,0.8021439087555806
f1_cep,914,0.43777493395519823,quota,634.1952762205115,0.3061320829097249,0.48782894326282994
f1_cep,914,0.43777493395519823,random,914.0,0.0,0.43777493395519823
f1_cep,914,0.43777493395519823,uncertainty,125.8568629010504,0.8623010252723737,0.7954078147556568
f1_cv,914,0.6091004047525787,class_balanced,70.99668985449763,0.9223230964392805,0.8805018914080662
f1_cv,914,0.6091004047525787,margin,118.17577296501632,0.8707048435831332,0.8221314017366649
f1_cv,914,0.6091004047525787,prototype,129.12380444609636,0.8587266909780128,0.8687659387613788
f1_cv,914,0.6091004047525787,quota,818.5712661763463,0.10440780505870209,0.6786526862354316
f1_cv,914,0.6091004047525787,random,332.24976438914103,0.6364882227689922,0.6091004047525787
f1_cv,914,0.6091004047525787,uncertainty,128.2927665865797,0.8596359227717947,0.8604212055192447
f1_ecl,914,0.973377560415919,class_balanced,794.6874913283685,0.13053884975014382,0.9771045989068163
f1_ecl,914,0.973377560415919,margin,248.90437001287788,0.727675743968405,0.9842250811860432
f1_ecl,914,0.973377560415919,prototype,,,0.9702997978345076
f1_ecl,914,0.973377560415919,quota,,,0.9457796308208014
f1_ecl,914,0.973377560415919,random,914.0,0.0,0.973377560415919
f1_ecl,914,0.973377560415919,uncertainty,,,0.9719752246628297
f1_lpv,914,0.9718863423658101,class_balanced,215.4748164735062,0.7642507478408029,0.9816739136845444
f1_lpv,914,0.9718863423658101,margin,193.02412640059765,0.7888138660824972,0.9820350768933587
f1_lpv,914,0.9718863423658101,prototype,190.31578916334288,0.7917770359263208,0.9825345116179719
f1_lpv,914,0.9718863423658101,quota,,,0.9639029048079456
f1_lpv,914,0.9718863423658101,random,742.3969412837386,0.1877495171950344,0.9718863423658101
f1_lpv,914,0.9718863423658101,uncertainty,196.89264940744775,0.7845813463813482,0.9821926521461682
f1_rr,914,0.8377482913903037,class_balanced,,,0.820575646288955
f1_rr,914,0.8377482913903037,margin,249.3499432489968,0.7271882458982529,0.9067417651080087
f1_rr,914,0.8377482913903037,prototype,,,0.7427551067022273
f1_rr,914,0.8377482913903037,quota,,,0.570593713341283
f1_rr,914,0.8377482913903037,random,914.0,0.0,0.8377482913903037
f1_rr,914,0.8377482913903037,uncertainty,,,0.7714989161175927
f1_yso,914,0.8617698607456594,class_balanced,227.56485664624807,0.7510231327721575,0.9063867664690394
f1_yso,914,0.8617698607456594,margin,191.13251731959446,0.7908834602630258,0.9138596760919965
f1_yso,914,0.8617698607456594,prototype,263.1519427044006,0.712087590038949,0.9138143488330458
f1_yso,914,0.8617698607456594,quota,,,0.7849871924414457
f1_yso,914,0.8617698607456594,random,914.0,0.0,0.8617698607456594
f1_yso,914,0.8617698607456594,uncertainty,261.4902006889489,0.713905688524126,0.9137990655976157
