track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_yso
b,0,random,659,0.8164629261645969,0.9506826552347574,0.7774850912664866,0.9609834313201496,0.4927835051546392,0.6474820143884892,0.9730536687318057,0.9675759135357694,0.8470060300098163,0.8263559200115091
b,0,random,674,0.8178967167944274,0.9506995000329227,0.7856975075850327,0.9628246175738171,0.5024342745861733,0.6438356164383562,0.9726254728123551,0.9669504385175278,0.8454302962235013,0.8311763014092609
b,0,random,689,0.8154846716290953,0.9505937792977782,0.7807061007246945,0.9630156472261735,0.5073457394711067,0.624113475177305,0.9725192663838939,0.967087303631213,0.8426252646436133,0.8316860048703624
b,0,random,704,0.8187648629794452,0.9525427988637828,0.7805532909897313,0.9622424617561235,0.4852941176470588,0.6474820143884892,0.973262830853797,0.969743867523021,0.8461322869955157,0.8471964616921102
b,0,random,719,0.826629272140676,0.9528106249223144,0.7899590918423284,0.9641688047421039,0.5164506480558325,0.6713286713286714,0.973261712921516,0.9692811637564159,0.8438614002566662,0.8480525039235269
b,0,random,734,0.8312833304356994,0.952296378514748,0.7989321323566185,0.9644472027662027,0.5135658914728682,0.7114093959731543,0.9729899309809077,0.9685349826053343,0.8428368794326241,0.8451990298188043
b,0,random,749,0.8262186022328849,0.953469638877831,0.7868948544242584,0.9647413182140326,0.47608695652173916,0.6993006993006993,0.9732535763831913,0.9712323107117034,0.8407643312101911,0.858151023288638
b,0,random,764,0.8295113524409602,0.9549356825860305,0.7910124632436044,0.9655538829363323,0.5304878048780488,0.656934306569343,0.9737517916865743,0.9719679337988104,0.845122123394042,0.8627616238235707
b,0,random,779,0.8151289271622952,0.9531570606485361,0.7723497065321093,0.9674212161562361,0.5236051502145923,0.5801526717557252,0.9738727978501045,0.9686107892365134,0.8418977896663382,0.8503420752565565
b,0,random,794,0.8071500973670019,0.9536564303633126,0.7630718098765861,0.9681020733652312,0.5243770314192849,0.5161290322580645,0.9737289399135232,0.9695406597374462,0.8440418907444098,0.8541310541310542
b,0,random,809,0.8098783303193436,0.9528803619543691,0.7669747757131271,0.965450035435861,0.5283018867924528,0.5396825396825397,0.9735284029051646,0.9686202717685584,0.8433016053416679,0.8502635703091609
b,0,random,824,0.8087415188224466,0.9529926013826031,0.7664963122103726,0.967787610619469,0.5133120340788072,0.5426356589147286,0.9732663376522686,0.9689280833397798,0.8408476745839852,0.8544132325680879
b,0,random,839,0.8009979976193768,0.9529236853010692,0.7588225393620748,0.9671811247117261,0.49176728869374314,0.5079365079365079,0.9733750745378652,0.9690620565088376,0.8461647125300183,0.851499218416939
b,0,random,854,0.7807686616146707,0.9525748974275138,0.7400591566463869,0.9672669209615896,0.4839067702552719,0.37168141592920356,0.9726888253514415,0.969398032177259,0.8444318503825446,0.8560068162453849
b,0,random,869,0.7973795279090632,0.9524678276102866,0.7533380741981259,0.9663499955606855,0.45629965947786605,0.5161290322580645,0.973175054737187,0.9684976392579788,0.8485362749257531,0.8526690391459075
b,0,random,884,0.7998549076027289,0.9532812575966078,0.7565458769936536,0.9665242165242165,0.526775956284153,0.4628099173553719,0.9732927956123878,0.9692264039002244,0.8469459726336578,0.8534090909090909
b,0,random,899,0.7778892671600213,0.9523005092874379,0.7369686696676796,0.9676731793960923,0.4611923509561305,0.375,0.9727886090466332,0.9690322580645161,0.8450783787600621,0.8544600938967136
b,0,random,914,0.8054893121029865,0.9552393002254487,0.7638814107130261,0.967948717948718,0.5975359342915811,0.41739130434782606,0.9740615962553293,0.97012111664902,0.851841359773371,0.8595251554550594
b,0,uncertainty,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,uncertainty,29,0.3897738027994378,0.6485007629336881,0.4951717715332065,0.7402728650833754,0.10734345745787394,0.11001410437235543,0.6201284961335745,0.8842839887263455,0.15712401970990353,0.1092496881126359
b,0,uncertainty,44,0.49367488196756654,0.7426040715028919,0.5197544997702187,0.784245215595966,0.227792436235708,0.43548387096774194,0.8204169849033914,0.8238844078222016,0.2004458660463313,0.16345539220162542
b,0,uncertainty,59,0.5457290424931502,0.7458103159551989,0.5976944914978881,0.8809387051776483,0.2003577817531306,0.6225165562913907,0.8114567966716945,0.7949425017601502,0.2680745976326322,0.2418163581654053
b,0,uncertainty,74,0.5328305634427272,0.7573132793113013,0.6519887046285032,0.9142048764250645,0.12809667673716013,0.4077669902912621,0.7874903005971459,0.8438057988266304,0.24150422632396068,0.4069450748978665
b,0,uncertainty,89,0.5759573363315358,0.7873378495988956,0.6258741879965121,0.9450017295053614,0.1309840425531915,0.5862068965517241,0.8505641041961715,0.8178001679261125,0.2804369414101291,0.4207074721780604
b,0,uncertainty,104,0.6520723282761922,0.834255404715195,0.6970120409661692,0.9326017375400092,0.25643516270033995,0.625,0.8476052249637155,0.9334216803604559,0.30492876736571983,0.6645137250031052
b,0,uncertainty,119,0.6546343602721336,0.8445993267983251,0.6811580995906245,0.9567873506423502,0.389010989010989,0.5882352941176471,0.8884737473610668,0.9095023873264704,0.19326014807250447,0.6571706053739074
b,0,uncertainty,134,0.759937689106726,0.9107515013645956,0.7260233086648349,0.962020748759585,0.6001917545541706,0.6521739130434783,0.9425694303375025,0.9703533876195747,0.3441358024691358,0.8481187869636341
b,0,uncertainty,149,0.7685308866323265,0.9108219980440174,0.73980842353755,0.9646722117878545,0.5847047434656341,0.7142857142857143,0.9404528203114776,0.9714705650770321,0.3462483462483463,0.8578818052502263
b,0,uncertainty,164,0.7491396533436865,0.899716743180636,0.7269164181541372,0.9397366957166697,0.5864077669902913,0.7142857142857143,0.935143156424581,0.9694874095972127,0.28232189973614774,0.816594930655189
