track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_sn,f1_yso
b,0,margin,140,0.6366012199219343,0.9105648290233468,0.708353298892948,0.8967611336032388,0.5063829787234042,0.4140625,0.9390527310073916,0.9675586076249112,0.5881863560732113,0.009142857142857144,0.7716625952004599
b,0,margin,190,0.6964006411489387,0.9363089649325981,0.7178846868342341,0.9273553792673144,0.6096579476861167,0.5412844036697247,0.9643062158701188,0.9646033857631009,0.7365356622998545,0.01892744479495268,0.8085346898403278
b,0,margin,240,0.7262264641457448,0.9411734065230478,0.7526953769610023,0.9458400142526279,0.7208043310131477,0.620253164556962,0.9642285731061107,0.9736084201707075,0.683837510803803,0.047058823529411764,0.8541808757331878
b,0,class_balanced,40,0.39049868158580986,0.6878972136405503,0.62555919887738,0.6957044157404626,0.1292723263506064,0.07879924953095685,0.7131512828506978,0.7867564534231201,0.256662705822441,0.003877042370534478,0.4597659765976598
b,0,class_balanced,90,0.47204092955159604,0.7477081969272628,0.6315179452150683,0.6269405302125627,0.38809144072301965,0.23412698412698413,0.7322385051883541,0.9466753078418665,0.2074786074317196,0.004998214923241699,0.63577784596502
b,0,class_balanced,140,0.5474691390695747,0.8398536194094981,0.7134629657850851,0.8812274049907416,0.30134357005758156,0.35398230088495575,0.8486094397646744,0.9536378120021243,0.4594919464700697,0.006060606060606061,0.5754000323258445
b,0,class_balanced,190,0.6229464022075338,0.9088579558861817,0.6952832184769819,0.8888251052430157,0.5461200585651538,0.31347962382445144,0.9386082152722088,0.9724028093261272,0.47117637869082957,0.00819672131147541,0.8447623054270088
b,0,class_balanced,240,0.6782076047458148,0.9376830421896205,0.7242962220944833,0.9243263196751569,0.5936329588014981,0.375,0.9587153924778171,0.973801077387991,0.7164401971031805,0.015384615384615385,0.8683602771362586
b,0,quota,40,0.39049868158580986,0.6878972136405503,0.62555919887738,0.6957044157404626,0.1292723263506064,0.07879924953095685,0.7131512828506978,0.7867564534231201,0.256662705822441,0.003877042370534478,0.4597659765976598
b,0,quota,90,0.3972123068388874,0.7196741909744079,0.5931340526575105,0.7981009093103726,0.14500941619585686,0.046875,0.7373132718546082,0.8455797764077756,0.285574366867217,0.003992015968063872,0.3152536981072053
b,0,quota,140,0.4667996450873736,0.762480485616082,0.651916558238135,0.8843046243768266,0.12097772277227722,0.0345378957467221,0.7580166589211025,0.8427972277581129,0.2883319451805861,0.01284796573875803,0.7925831202046035
b,0,quota,190,0.5308744140056896,0.8429020105090577,0.7179499401687521,0.9335816263190565,0.14318706697459585,0.06952743074416078,0.8716053765349426,0.8741718022162428,0.4512504131320921,0.1,0.8036715961244263
b,0,quota,240,0.5231516774664808,0.8248145267812537,0.6641840169536628,0.9482177691079978,0.15211486224291812,0.058150619637750235,0.8373658811628332,0.8821600226180378,0.38948736998514116,0.13333333333333333,0.7843835616438356
b,0,prototype,40,0.39049868158580986,0.6878972136405503,0.62555919887738,0.6957044157404626,0.1292723263506064,0.07879924953095685,0.7131512828506978,0.7867564534231201,0.256662705822441,0.003877042370534478,0.4597659765976598
b,0,prototype,90,0.4056402862659924,0.701004851917649,0.5633727504055618,0.5819025522041763,0.27972027972027974,0.11146161934805468,0.6643463786483061,0.9576086956521739,0.1971419630749974,0.0025926886180969665,0.45034811286185417
b,0,prototype,140,0.5251489468277386,0.7982672259799813,0.6221289383999147,0.878434189261986,0.4206081081081081,0.32418952618453867,0.7822301709156557,0.9622218748371633,0.20753308449270444,0.005912786400591279,0.6200618344211611
b,0,prototype,190,0.6030382802663903,0.8449457415261536,0.6813464695875664,0.8919867235656709,0.5354477611940298,0.44368600682593856,0.8312015852999459,0.9701217263002582,0.2986707178123813,0.007058823529411765,0.8461328976034859
b,0,prototype,240,0.6648411405709594,0.8906440911353938,0.694119051147869,0.9462929475587704,0.6362007168458781,0.6309523809523809,0.9014144943527501,0.9729136737625702,0.3539479689639434,0.01892744479495268,0.8580794973364294
